Location,Number of Accidents,Reason,Speed Limit,Speed,Predicted Zone
Anna Statue Junction,40,Over-Speed,60,70,High
Hope College,56,Over-Speed,50,60,High
SITRA junction,28,Over-Speed,50,60,Mid
KMCH Junction,10,Over-Speed,40,50,Low
Goldwins on Avinashi Road,47,Over-Speed,50,60,High
Singanallur Traffic Signal,15,Over-Speed,50,60,Low
Vasantha Mill Road Junction,24,Over-Speed,50,60,Mid
Ammankovil Bus Stop,12,Over-Speed,50,60,Low
Sungam Bypass,43,Over-Speed,60,70,High
GD Tank near Vellalore Pirivu,26,Over-Speed,50,60,Mid
Flower Market,3,Over-Speed,40,50,Low
L&T Bypass Near Sri Shakthi College,45,Over-Speed,60,70,High
Pongaliamman temple area at Podanur,8,Over-Speed,40,50,Low
L&T Bypass near Walayar,28,Over-Speed,60,70,Mid
