Location,Accidents,Reason,Speed_Limit,Speed
Anna Statue Junction,40,Over-Speed,60,70
Hope College,56,Over-Speed,50,60
SITRA junction,28,Over-Speed,50,60
KMCH Junction,10,Over-Speed,40,50
Goldwins on Avinashi Road,47,Over-Speed,50,60
Singanallur Traffic Signal,15,Over-Speed,50,60
Vasantha Mill Road Junction,24,Over-Speed,50,60
Ammankovil Bus Stop,12,Over-Speed,50,60
Sungam Bypass,43,Over-Speed,60,70
GD Tank near Vellalore Pirivu,26,Over-Speed,50,60
Flower Market,3,Over-Speed,40,50
L&T Bypass Near Sri Shakthi College,45,Over-Speed,60,70
Pongaliamman temple area at Podanur,8,Over-Speed,40,50
L&T Bypass near Walayar,28,Over-Speed,60,70
